"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url",
"Lisette's Dance Studio","http://www.lisettesdancestudio.com/","LisettesDanceStudio@gmail.com","340 N Escondido Blvd","Escondido",92025,"(760) 580-2000","We are a professional ballet studio, and you will see this right away in our classes, performances, and school activities.  

Being a traditional ballet studio, we train dancers in a fun loving and learning environment.  We thrive on teaching proper classroom etiquette and the love of the arts and performing. We do not participate in costly competitions but instead choose to hold annual performances and participate with City Ballet of San Diego in their Nutcracker Suite Ballet.","CA",4.5,,"yes",,,"Dance","Ballet",,,,,,,,187.5,"per quarter","phone","n/a","n/a","http://nebula.wsimg.com/a9c2938f2da2f38d1cf98000d3481c94?AccessKeyId=4F150433D2AD514B9179&disposition=0&alloworigin=1","http://nebula.wsimg.com/f32b29b762f324d492559a7e88cacc0d?AccessKeyId=4F150433D2AD514B9179&disposition=0&alloworigin=1",
"Arthur Murray Dance Studio - Youth Jam","http://arthurmurraylive.com/programs/the-arthur-murray-youth-jam/","??","1947 2nd St","Livermore",94550,"(925) 456-5556","Youth Jam is a socially interactive dance program for kids 5-15 years of age.
The classes are designed to teach them coordination, posture, social ease, and rhythm while exploring the world of ballroom and latin dancing. Whether your child is interested in doing high level performances or if they just want to learn to dance in a fun environment – we’ve got a class that will fit your child’s needs.
Parents have chosen Youth Jam for their kids for a variety of reasons – here are the most popular ones:
> Your child loves dancing but not leotards: Kids can learn to dance in comfortable clothing in an even more comfortable and fun environment. If ballet isn’t “their thing”, maybe ballroom is?
> This is Timeless: Partner dancing is a skill that doesn’t go out of style. Getting them involved early makes an impact on their social future.
> Change the Routine: Want to give them an activity that is both athletic and artistic? Nothing changes up the routine like learning the Tango, Salsa, or Swing. Boredom sets in when things get predictable, so try something new and exciting this summer.
Here are some examples of the dances we teach:
 > Foxtrot - Imagine a wedding reception and your son or daughter dancing and carrying on a conversation at the same time. Skillfully navigating around the room. Foxtrot is social dancing at its finest.
> Tango – The dance of drama! The Tango teaches dancers young and old to move with confidence and sophistication.
> Salsa – One of the most popular dances in the world right now, the salsa combines fast movement with exciting music.
> Samba – You’ve seen it on TV and now your kids get to try out the national dance of Brazil! Want your kids to develop coordination and get a great workout at the same time? This is the dance.
Before long, your kids will recognize the dances that they see on TV and may even teach you a step or two. What it all boils down to is that learning how to ballroom dance is different, and therefore, keeps them engaged. They’ll get a chance to learn in a fun environment and they don’t need to have any dance experience to participate.","CA",5,15,"yes",,,"Dance","Ballroom","Jazz","Latin",,,,,,,"??","phone","https://www.facebook.com/ArthurMurrayLivermoreDanceStudio","yes","https://scontent-b-ord.xx.fbcdn.net/hphotos-frc3/v/t1.0-9/555466_691209867561571_1189470751_n.png?oh=6bcf3c668cd0fe9e263ad31e305319e4&oe=550C8CCA","http://arthurmurraylive.com/wp-content/uploads/2013/05/youthjam-1024x545.png",
"Jazzy D Studio Of Dance","http://www.jazzydstudio.com/","jazzyd_studio@yahoo.com","2730 W Shaw Ave","Fresno",93711,"(559) 277-1767","Jazzy D is an award winning studio committed to providing top quality dance instruction in the Fresno area. Specialties include Hip-Hop, Urban Funk, Character Dance, Production Dance, Show Teams and Competition Teams.","CA",3,,"yes",,,"Dance","Jazz",,,,,,,,20,"per class","phone","https://www.facebook.com/JazzyDStudio","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/1044925_484538944953487_1695370374_n.png?oh=8af308138f2d3797864d58ccedacf0ea&oe=551C193A","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/249442_136126619794723_4102440_n.jpg?oh=fdc8f0ea90a37a8690c85adbd1b18aaa&oe=551DA4D1",
"West Coast School Of Arts","http://www.wcdance.com/","info@wcdance.com","890 Baker St","Costa Mesa",92626,"(714) 754-4199","Dancers of all ages and levels of experience are welcome at West Coast. We offer a large variety of classes for everyone. Auditions are on-going for our nationally recognized competition teams.","CA",3,,"yes","yes",,"Dance","Ballet","Jazz","Tap",,,,,,55,"per month","phone","https://www.facebook.com/pages/West-Coast-School-Of-Arts/146645408705897?rf=243748669013348","no","http://www.wcdance.com/images/logo.png","??",
"O'Sullivan Academy of Irish Dance","http://www.osdance.com/","melissa@osdance.com","1803 Cirby Way, Suite 2","Rosevilla",95661,"(916) 780-5270","Under the Direction Melissa O'Sullivan, T.C.R.G., O'Sullivan's is a place where dancers of all ages can learn the love of Irish dance!!","CA",5,,"yes",,,"Dance",,,,,,,,,60,"per month","phone","https://www.facebook.com/OSullivan.Academy","yes","http://www.osdance.com/img/osullivanlogo_sm.jpg","https://scontent-a.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/1489146_638825932850094_122786714_n.jpg?oh=37fd34dbe9d4649e5c9528d985f96e1e&oe=5510C4EC",
"Shine Music and Dance","http://www.shinestudio1.com/","?? theres a webform to contact","2479 S San Jacinto Ave","San Jacinto",92583,"(951) 652-9060","Shine! Music & Dance Studio is an encouraging, exciting, cheerful, non-pressuring, Christian atmosphere where every student ""shines!""
Our Desire is to teach young people the Performing Arts in a safe, loving and wholesome environment.
We strive to maintain a high level of integrity, excellence, and modesty in attitude, music and attire both inside and outside of the classroom.","CA",,,"yes",,,"Dance","Ballet","Jazz","Ballroom","Tap",,,,,45,"per month","phone","https://www.facebook.com/pages/Shine-Music-and-Dance-Studio-and-Boutique/546206532083168?sk=timeline","no","??","http://www.shinestudio1.com/uploads/8/1/9/0/8190106/2138113_orig.jpg",
"Little Gym of San Jose South","www.tlgssanjoseca.com","tlgssanjoseca@thelittlegym.com","1375 Blossom Hill Rd","San Jose",95118,"(408) 723-7222","Want to give your child the best start in life? That extra edge that will help them become well-rounded, well-adjusted adults? Research suggests that creative physical activity may be the key to fostering confident, successful kids. In other words, Serious Fun provides some serious benefits. And, we have the research to back it up!
We take a holistic “Three-Dimensional Learning” approach to skill development. This philosophy is based on three core tenets: “Get Moving” to foster flexibility, strength, balance and coordination; “Brain Boost” to nurture listening skills, concentration and decision making; and “Citizen Kid” to promote sharing, teamwork, cooperation and leadership abilities.
We're not the only ones who see the value of this approach. Major studies note the benefits of a whole child approach to physical activity. Research has shown that:
Children make judgments about their motor skill abilities at an early age, which may affect their willingness to take on new physical challenges as they get older.i
Structured and repetitive physical activities can improve a child’s processing speed, working memory, self-control and strategic decision-making ability. ii
Early participation in structured group activities that allow children to cultivate skills such as initiative, teamwork, and emotional regulation, can help children more effectively take on leadership roles in childhood and later life. iii","CA",,12,"yes",,"yes","Dance",,,,,,,,,,"??","online","https://www.facebook.com/tlgsanjose","yes","http://www.thelittlegym.com/PublishingImages/ConsumerMaster/logo_tlg.gif","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/179944_10150929499320929_1789464617_n.jpg?oh=6a64a20820de6afe35bf9290034993f5&oe=551D5880&__gda__=1423457291_fca9c46149b1f417e61e8285332aa797","more than just dance - kindermusic, gymnastics, etc"
"Little Gym of Mountainview","www.tlgmtviewca.com","tlgmtviewca@thelittlegym.com","1910-F West El Camino Real","Mountainview",94040,"(650) 961-8100","Want to give your child the best start in life? That extra edge that will help them become well-rounded, well-adjusted adults? Research suggests that creative physical activity may be the key to fostering confident, successful kids. In other words, Serious Fun provides some serious benefits. And, we have the research to back it up!
We take a holistic “Three-Dimensional Learning” approach to skill development. This philosophy is based on three core tenets: “Get Moving” to foster flexibility, strength, balance and coordination; “Brain Boost” to nurture listening skills, concentration and decision making; and “Citizen Kid” to promote sharing, teamwork, cooperation and leadership abilities.
We're not the only ones who see the value of this approach. Major studies note the benefits of a whole child approach to physical activity. Research has shown that:
Children make judgments about their motor skill abilities at an early age, which may affect their willingness to take on new physical challenges as they get older.i
Structured and repetitive physical activities can improve a child’s processing speed, working memory, self-control and strategic decision-making ability. ii
Early participation in structured group activities that allow children to cultivate skills such as initiative, teamwork, and emotional regulation, can help children more effectively take on leadership roles in childhood and later life. iii","CA",,12,"yes",,"yes","Dance",,,,,,,,,,"??","online","https://www.facebook.com/TheLittleGymOfMountainView","yes","http://www.thelittlegym.com/PublishingImages/ConsumerMaster/logo_tlg.gif","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/1157606_592603697458398_646835742_n.png?oh=cd08f52600200ac05793a910afc0d026&oe=54D774BF&__gda__=1423057212_91aa1e47e798eeaa08cb4a7d6f9dbabe","more than just dance - kindermusic, gymnastics, etc"
"The Little Gym of Brentwood","www.tlgbrentwoodca.com","tlgbrentwoodca@thelittlegym.com","3850 Balfour Rd., Suite K","Brentwood",94513,"925-634-0034","Want to give your child the best start in life? That extra edge that will help them become well-rounded, well-adjusted adults? Research suggests that creative physical activity may be the key to fostering confident, successful kids. In other words, Serious Fun provides some serious benefits. And, we have the research to back it up!
We take a holistic “Three-Dimensional Learning” approach to skill development. This philosophy is based on three core tenets: “Get Moving” to foster flexibility, strength, balance and coordination; “Brain Boost” to nurture listening skills, concentration and decision making; and “Citizen Kid” to promote sharing, teamwork, cooperation and leadership abilities.
We're not the only ones who see the value of this approach. Major studies note the benefits of a whole child approach to physical activity. Research has shown that:
Children make judgments about their motor skill abilities at an early age, which may affect their willingness to take on new physical challenges as they get older.i
Structured and repetitive physical activities can improve a child’s processing speed, working memory, self-control and strategic decision-making ability. ii
Early participation in structured group activities that allow children to cultivate skills such as initiative, teamwork, and emotional regulation, can help children more effectively take on leadership roles in childhood and later life. iii","CA",,12,"yes",,"yes","Dance",,,,,,,,,,"??","online","https://www.facebook.com/tlgbrentwoodca","yes","http://www.thelittlegym.com/PublishingImages/ConsumerMaster/logo_tlg.gif","https://scontent-a-ord.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/1505007_10152463462847914_2679623354081571668_n.jpg?oh=04ddb3147924e722e36ac07131b06852&oe=54D4168A","more than just dance - kindermusic, gymnastics, etc"
"The Little Gym of Calabasas","www.tlgofcalabasasca.com","tlgofcalabasasca@thelittlegym.com","23241 Ventura Blvd","Woodland Hills",91364,"818-222-6296","Want to give your child the best start in life? That extra edge that will help them become well-rounded, well-adjusted adults? Research suggests that creative physical activity may be the key to fostering confident, successful kids. In other words, Serious Fun provides some serious benefits. And, we have the research to back it up!
We take a holistic “Three-Dimensional Learning” approach to skill development. This philosophy is based on three core tenets: “Get Moving” to foster flexibility, strength, balance and coordination; “Brain Boost” to nurture listening skills, concentration and decision making; and “Citizen Kid” to promote sharing, teamwork, cooperation and leadership abilities.
We're not the only ones who see the value of this approach. Major studies note the benefits of a whole child approach to physical activity. Research has shown that:
Children make judgments about their motor skill abilities at an early age, which may affect their willingness to take on new physical challenges as they get older.i
Structured and repetitive physical activities can improve a child’s processing speed, working memory, self-control and strategic decision-making ability. ii
Early participation in structured group activities that allow children to cultivate skills such as initiative, teamwork, and emotional regulation, can help children more effectively take on leadership roles in childhood and later life. iii","CA",,12,"yes",,"yes","Dance",,,,,,,,,,"??","online","https://www.facebook.com/pages/The-Little-Gym-of-Calabasas/88568772255?hc_location=timeline","no","http://www.thelittlegym.com/PublishingImages/ConsumerMaster/logo_tlg.gif","https://scontent-b-ord.xx.fbcdn.net/hphotos-prn2/v/t1.0-9/945658_10151446493022256_1065483455_n.jpg?oh=1811e7eb76e44636bc8b6a2b3902927a&oe=54E3178A","more than just dance - kindermusic, gymnastics, etc"
"The Little Gym of Fresno Northeast","www.tlgnefresnoca.com","tlgnefresnoca@thelittlegym.com","9525 North Sommerville Dr. Ste 109","Fresno",93270,"(559) 433-3434","Want to give your child the best start in life? That extra edge that will help them become well-rounded, well-adjusted adults? Research suggests that creative physical activity may be the key to fostering confident, successful kids. In other words, Serious Fun provides some serious benefits. And, we have the research to back it up!
We take a holistic “Three-Dimensional Learning” approach to skill development. This philosophy is based on three core tenets: “Get Moving” to foster flexibility, strength, balance and coordination; “Brain Boost” to nurture listening skills, concentration and decision making; and “Citizen Kid” to promote sharing, teamwork, cooperation and leadership abilities.
We're not the only ones who see the value of this approach. Major studies note the benefits of a whole child approach to physical activity. Research has shown that:
Children make judgments about their motor skill abilities at an early age, which may affect their willingness to take on new physical challenges as they get older.i
Structured and repetitive physical activities can improve a child’s processing speed, working memory, self-control and strategic decision-making ability. ii
Early participation in structured group activities that allow children to cultivate skills such as initiative, teamwork, and emotional regulation, can help children more effectively take on leadership roles in childhood and later life. iii","CA",,12,"yes",,"yes","Dance",,,,,,,,,,"??","online","https://www.facebook.com/permalink.php?id=277296399971&story_fbid=10152084277304972","no","http://www.thelittlegym.com/PublishingImages/ConsumerMaster/logo_tlg.gif","https://scontent-a-ord.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/1505007_10152463462847914_2679623354081571668_n.jpg?oh=04ddb3147924e722e36ac07131b06852&oe=54D4168A","more than just dance - kindermusic, gymnastics, etc"
"The Little Gym of La Canada/La Crescenta","www.tlglacanadaca.com","tlglacanadaca@thelittlegym.com","2196 Foothill Blvd","Canada",91011,"(818) 249-4496","Want to give your child the best start in life? That extra edge that will help them become well-rounded, well-adjusted adults? Research suggests that creative physical activity may be the key to fostering confident, successful kids. In other words, Serious Fun provides some serious benefits. And, we have the research to back it up!
We take a holistic “Three-Dimensional Learning” approach to skill development. This philosophy is based on three core tenets: “Get Moving” to foster flexibility, strength, balance and coordination; “Brain Boost” to nurture listening skills, concentration and decision making; and “Citizen Kid” to promote sharing, teamwork, cooperation and leadership abilities.
We're not the only ones who see the value of this approach. Major studies note the benefits of a whole child approach to physical activity. Research has shown that:
Children make judgments about their motor skill abilities at an early age, which may affect their willingness to take on new physical challenges as they get older.i
Structured and repetitive physical activities can improve a child’s processing speed, working memory, self-control and strategic decision-making ability. ii
Early participation in structured group activities that allow children to cultivate skills such as initiative, teamwork, and emotional regulation, can help children more effectively take on leadership roles in childhood and later life. iii","CA",,12,"yes",,"yes","Dance",,,,,,,,,,"??","online","https://www.facebook.com/tlglacanada/timeline","yes","http://www.thelittlegym.com/PublishingImages/ConsumerMaster/logo_tlg.gif","https://scontent-a-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10398672_10152420474221575_2282946901295667343_n.jpg?oh=30a65f3e9135bea2075fa22374634706&oe=54DB30C3","more than just dance - kindermusic, gymnastics, etc"
"The Little Gym of Millbrae","www.tlgmillbraeca.com","tlgmillbraeca@thelittlegym.com","1395 El Camino Real","Millbrae",94030,"650-244-9466","Want to give your child the best start in life? That extra edge that will help them become well-rounded, well-adjusted adults? Research suggests that creative physical activity may be the key to fostering confident, successful kids. In other words, Serious Fun provides some serious benefits. And, we have the research to back it up!
We take a holistic “Three-Dimensional Learning” approach to skill development. This philosophy is based on three core tenets: “Get Moving” to foster flexibility, strength, balance and coordination; “Brain Boost” to nurture listening skills, concentration and decision making; and “Citizen Kid” to promote sharing, teamwork, cooperation and leadership abilities.
We're not the only ones who see the value of this approach. Major studies note the benefits of a whole child approach to physical activity. Research has shown that:
Children make judgments about their motor skill abilities at an early age, which may affect their willingness to take on new physical challenges as they get older.i
Structured and repetitive physical activities can improve a child’s processing speed, working memory, self-control and strategic decision-making ability. ii
Early participation in structured group activities that allow children to cultivate skills such as initiative, teamwork, and emotional regulation, can help children more effectively take on leadership roles in childhood and later life. iii","CA",,12,"yes",,"yes","Dance",,,,,,,,,,"??","online","https://www.facebook.com/TLGMILLBRAE?rf=111702715532603","yes","http://www.thelittlegym.com/PublishingImages/ConsumerMaster/logo_tlg.gif","https://scontent-b-ord.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/10603335_706810992722269_4758865676745249835_n.jpg?oh=80b50e6f9b44c86bcea4b680c9414120&oe=54D3655F","more than just dance - kindermusic, gymnastics, etc"
"The Little Gym of Morgan Hill","www.tlgmorganhillca.com","tlgmorganhillca@msn.com","15750 Vineyard Blvd.","Morgan Hill",95037,"(408) 776-8125","Want to give your child the best start in life? That extra edge that will help them become well-rounded, well-adjusted adults? Research suggests that creative physical activity may be the key to fostering confident, successful kids. In other words, Serious Fun provides some serious benefits. And, we have the research to back it up!
We take a holistic “Three-Dimensional Learning” approach to skill development. This philosophy is based on three core tenets: “Get Moving” to foster flexibility, strength, balance and coordination; “Brain Boost” to nurture listening skills, concentration and decision making; and “Citizen Kid” to promote sharing, teamwork, cooperation and leadership abilities.
We're not the only ones who see the value of this approach. Major studies note the benefits of a whole child approach to physical activity. Research has shown that:
Children make judgments about their motor skill abilities at an early age, which may affect their willingness to take on new physical challenges as they get older.i
Structured and repetitive physical activities can improve a child’s processing speed, working memory, self-control and strategic decision-making ability. ii
Early participation in structured group activities that allow children to cultivate skills such as initiative, teamwork, and emotional regulation, can help children more effectively take on leadership roles in childhood and later life. iii","CA",,12,"yes",,"yes","Dance",,,,,,,,,,"??","online","https://www.facebook.com/TLGMH","yes","http://www.thelittlegym.com/PublishingImages/ConsumerMaster/logo_tlg.gif","https://scontent-b-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10500509_10152871451497152_7281068784525587929_n.jpg?oh=197a24bf815f26de7668fe1a4b58620c&oe=54DE43DC","more than just dance - kindermusic, gymnastics, etc"
"The Little Gym of North Huntington Beach","www.tlgnhuntingtonbeachca.com","tlgnhuntingtonbeachca@thelittlegym.com","15891 Goldenwest Street","Huntington Beach",92647,"(714) 373-0700","Want to give your child the best start in life? That extra edge that will help them become well-rounded, well-adjusted adults? Research suggests that creative physical activity may be the key to fostering confident, successful kids. In other words, Serious Fun provides some serious benefits. And, we have the research to back it up!
We take a holistic “Three-Dimensional Learning” approach to skill development. This philosophy is based on three core tenets: “Get Moving” to foster flexibility, strength, balance and coordination; “Brain Boost” to nurture listening skills, concentration and decision making; and “Citizen Kid” to promote sharing, teamwork, cooperation and leadership abilities.
We're not the only ones who see the value of this approach. Major studies note the benefits of a whole child approach to physical activity. Research has shown that:
Children make judgments about their motor skill abilities at an early age, which may affect their willingness to take on new physical challenges as they get older.i
Structured and repetitive physical activities can improve a child’s processing speed, working memory, self-control and strategic decision-making ability. ii
Early participation in structured group activities that allow children to cultivate skills such as initiative, teamwork, and emotional regulation, can help children more effectively take on leadership roles in childhood and later life. iii","CA",,12,"yes",,"yes","Dance",,,,,,,,,,"??","online","https://www.facebook.com/TheLittleGymHuntingtonBeach","yes","http://www.thelittlegym.com/PublishingImages/ConsumerMaster/logo_tlg.gif","https://scontent-a-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/p417x417/988843_10152380852366957_5223313198307121558_n.png?oh=77581f4ef02a1755cf4ce1bed3af3329&oe=5517030E","more than just dance - kindermusic, gymnastics, etc"
"The Little Gym of Riverside","www.tlgriversideca.com","tlgriversideca@thelittlegym.com","9900 Indiana Avenue #12","Riverside",92503,"(951) 785-5966","Want to give your child the best start in life? That extra edge that will help them become well-rounded, well-adjusted adults? Research suggests that creative physical activity may be the key to fostering confident, successful kids. In other words, Serious Fun provides some serious benefits. And, we have the research to back it up!
We take a holistic “Three-Dimensional Learning” approach to skill development. This philosophy is based on three core tenets: “Get Moving” to foster flexibility, strength, balance and coordination; “Brain Boost” to nurture listening skills, concentration and decision making; and “Citizen Kid” to promote sharing, teamwork, cooperation and leadership abilities.
We're not the only ones who see the value of this approach. Major studies note the benefits of a whole child approach to physical activity. Research has shown that:
Children make judgments about their motor skill abilities at an early age, which may affect their willingness to take on new physical challenges as they get older.i
Structured and repetitive physical activities can improve a child’s processing speed, working memory, self-control and strategic decision-making ability. ii
Early participation in structured group activities that allow children to cultivate skills such as initiative, teamwork, and emotional regulation, can help children more effectively take on leadership roles in childhood and later life. iii","CA",,12,"yes",,"yes","Dance",,,,,,,,,,"??","online","https://www.facebook.com/thelittlegymofriverside","no","http://www.thelittlegym.com/PublishingImages/ConsumerMaster/logo_tlg.gif","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/283506_207360675982204_8267947_n.jpg?oh=43097e50526d4304cff99a34ecebda29&oe=54E22C6F&__gda__=1427437606_2ee3b2f145ff38b191a679ffce0b38b9","more than just dance - kindermusic, gymnastics, etc"
"The Little Gym of Stevens Creek","www.tlgstevenscreekca.com","tlgstevenscreekca@thelittlegym.com","5128 Stevens Creek Blvd.","San Jose",95129,"(408) 246-3400","Want to give your child the best start in life? That extra edge that will help them become well-rounded, well-adjusted adults? Research suggests that creative physical activity may be the key to fostering confident, successful kids. In other words, Serious Fun provides some serious benefits. And, we have the research to back it up!
We take a holistic “Three-Dimensional Learning” approach to skill development. This philosophy is based on three core tenets: “Get Moving” to foster flexibility, strength, balance and coordination; “Brain Boost” to nurture listening skills, concentration and decision making; and “Citizen Kid” to promote sharing, teamwork, cooperation and leadership abilities.
We're not the only ones who see the value of this approach. Major studies note the benefits of a whole child approach to physical activity. Research has shown that:
Children make judgments about their motor skill abilities at an early age, which may affect their willingness to take on new physical challenges as they get older.i
Structured and repetitive physical activities can improve a child’s processing speed, working memory, self-control and strategic decision-making ability. ii
Early participation in structured group activities that allow children to cultivate skills such as initiative, teamwork, and emotional regulation, can help children more effectively take on leadership roles in childhood and later life. iii","CA",,12,"yes",,"yes","Dance",,,,,,,,,,"??","online","https://www.facebook.com/tlgstevenscreek","yes","http://www.thelittlegym.com/PublishingImages/ConsumerMaster/logo_tlg.gif","https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/10609505_696607897097805_6795184708621531377_n.png?oh=a2d9a5663b24773a2a9533353b7237d9&oe=54D781BB&__gda__=1427178506_fac5cc209778d05f176f0410d9e42a82","more than just dance - kindermusic, gymnastics, etc"
"The Little Gym of Thousand Oaks","www.tlgthousandoaksca.com","tlgthousandoaksca@thelittlegym.com","1070 Country Club Dr.","Simi Valley",93065,"(805) 527-7367","Want to give your child the best start in life? That extra edge that will help them become well-rounded, well-adjusted adults? Research suggests that creative physical activity may be the key to fostering confident, successful kids. In other words, Serious Fun provides some serious benefits. And, we have the research to back it up!
We take a holistic “Three-Dimensional Learning” approach to skill development. This philosophy is based on three core tenets: “Get Moving” to foster flexibility, strength, balance and coordination; “Brain Boost” to nurture listening skills, concentration and decision making; and “Citizen Kid” to promote sharing, teamwork, cooperation and leadership abilities.
We're not the only ones who see the value of this approach. Major studies note the benefits of a whole child approach to physical activity. Research has shown that:
Children make judgments about their motor skill abilities at an early age, which may affect their willingness to take on new physical challenges as they get older.i
Structured and repetitive physical activities can improve a child’s processing speed, working memory, self-control and strategic decision-making ability. ii
Early participation in structured group activities that allow children to cultivate skills such as initiative, teamwork, and emotional regulation, can help children more effectively take on leadership roles in childhood and later life. iii","CA",,12,"yes",,"yes","Dance",,,,,,,,,,"??","online","https://www.facebook.com/tlgthousandoaks","yes","http://www.thelittlegym.com/PublishingImages/ConsumerMaster/logo_tlg.gif","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/10427318_10152152676837934_7868225195600212305_n.jpg?oh=d81dbb5993ffaf94347417d124a3d556&oe=54DA640F&__gda__=1427540330_4ac6bf60feb897ac513e5e358040a0f2","more than just dance - kindermusic, gymnastics, etc"
"The Little Gym of Torrance","www.tlgtorranceca.com","tlgtorranceca@thelittlegym.com","21203A Hawthorne Blvd.","Torrance",90503,"(310) 543-2333","Want to give your child the best start in life? That extra edge that will help them become well-rounded, well-adjusted adults? Research suggests that creative physical activity may be the key to fostering confident, successful kids. In other words, Serious Fun provides some serious benefits. And, we have the research to back it up!
We take a holistic “Three-Dimensional Learning” approach to skill development. This philosophy is based on three core tenets: “Get Moving” to foster flexibility, strength, balance and coordination; “Brain Boost” to nurture listening skills, concentration and decision making; and “Citizen Kid” to promote sharing, teamwork, cooperation and leadership abilities.
We're not the only ones who see the value of this approach. Major studies note the benefits of a whole child approach to physical activity. Research has shown that:
Children make judgments about their motor skill abilities at an early age, which may affect their willingness to take on new physical challenges as they get older.i
Structured and repetitive physical activities can improve a child’s processing speed, working memory, self-control and strategic decision-making ability. ii
Early participation in structured group activities that allow children to cultivate skills such as initiative, teamwork, and emotional regulation, can help children more effectively take on leadership roles in childhood and later life. iii","CA",,12,"yes",,"yes","Dance",,,,,,,,,,"??","online","https://www.facebook.com/TheLittleGymTorrance","yes","http://www.thelittlegym.com/PublishingImages/ConsumerMaster/logo_tlg.gif","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/10346526_10152598584851026_1552588117799553520_n.jpg?oh=50d1f96ae53fecafaa427122f7dd1c4b&oe=5511A39F&__gda__=1426895072_57b2238ee61e9a525c0de8572aefcd51","more than just dance - kindermusic, gymnastics, etc"
"The Little Gym of Tustin","www.tlgtustinca.com","tlgtustinca@thelittlegym.com","17291 17th Street","Tustin",92870,"(714) 505-5855","Want to give your child the best start in life? That extra edge that will help them become well-rounded, well-adjusted adults? Research suggests that creative physical activity may be the key to fostering confident, successful kids. In other words, Serious Fun provides some serious benefits. And, we have the research to back it up!
We take a holistic “Three-Dimensional Learning” approach to skill development. This philosophy is based on three core tenets: “Get Moving” to foster flexibility, strength, balance and coordination; “Brain Boost” to nurture listening skills, concentration and decision making; and “Citizen Kid” to promote sharing, teamwork, cooperation and leadership abilities.
We're not the only ones who see the value of this approach. Major studies note the benefits of a whole child approach to physical activity. Research has shown that:
Children make judgments about their motor skill abilities at an early age, which may affect their willingness to take on new physical challenges as they get older.i
Structured and repetitive physical activities can improve a child’s processing speed, working memory, self-control and strategic decision-making ability. ii
Early participation in structured group activities that allow children to cultivate skills such as initiative, teamwork, and emotional regulation, can help children more effectively take on leadership roles in childhood and later life. iii","CA",,12,"yes",,"yes","Dance",,,,,,,,,,"??","online","https://www.facebook.com/ThelittlegymofTustin","no","http://www.thelittlegym.com/PublishingImages/ConsumerMaster/logo_tlg.gif","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/10151358_10152067720848160_1969367201_n.png?oh=286ee54a4d56f595c1c54938efdc3e48&oe=5514ACED&__gda__=1427679261_d62ba7863959d8566f45fb6355852f90","more than just dance - kindermusic, gymnastics, etc"
