"provider_name","website","email","street_address","city","state","Zipcode","phone","description","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","NOTES","Hot Lead"
"Ballet Kukan Academy","http://www.balletkukan.com/","info@balletkukan.com","947A W DUARTE","Monrovia","CA",91016,"626-791-1178","Ballet Kukan Academy offers our main classical ballet curriculum based on Royal Academy of Dance from London, England. Ballet Kukan works to help you develop you and your child's creative space.  As they grow physically, mentally, and emotionally at Ballet Kukan Academy, you will see your children create their own sense of space around them. As well as physical training, Ballet training will enhance you and your child's Musicality, Endurance, Spatial Orientation, Creativity, Social Skills and more. It also reflects brain development. You and your child will feel all around development year by year. We keep the class ratio to be small to pay attention to each student",2,18,"Yes","No","No","Dance","Ballet","Tap","Jazz","HipHop","Contemporary",,,,,,52,"Per_month","unclear","https://www.facebook.com/pages/Ballet-Kukan-Academy/242593779147599","No","N/A","https://scontent-a.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1393684_567260073347633_1101925204_n.jpg?oh=9abf0e19f230cf93b095db6d6e7c6d09&oe=55162193","no registration info on site","Yes"
"4S Dance Academy","http://www.academyofdance.co/","INFO@SEDMA.US","10804 Willow Court","San Diego","CA",92127,"(858) 385-1999","The Academy encourages all levels of students in a nurturing and fun environment. Our dance classes for kids are both interactive and engaging. For those students who are interested in a career in ballet, we have an excellent pre-professional ballet program, preparing students for the most prestigious companies and schools in the nation. 4S Dance Academy inspires and encourages all levels of students bringing technique, artistry, strength, flexibility, coordination, poise and confidence in a positive, creative atmosphere. 4SDA offers dance classes in ballet, contemporary, lyrical, jazz, and hip-hop.",2.5,18,"Yes","Yes","No","Dance","Ballet","Jazz","HipHop","Lyrical","Contemporary",,,,,,20,"Per_class","PDF","https://www.facebook.com/SanElijoDanceandMusicAcademy","Yes","http://www.academyofdance.co/wp-content/themes/sedma/assets/img/San-Elijo-Dance-Music-Academy-Logo.png","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xfp1/t31.0-8/p417x417/10658853_823949024315951_5782334189036176301_o.jpg",,"Yes"
"Bocutti Ballet Theater","http://www.bbtdance.com/","bbtdance@yahoo.com","1100 West Ocean Avenue","Lompac","CA",93436,"805-736-5620","Our mission is to provide students with quality dance training, at an affordable cost, while building self-confidence and promoting individuality, commitment and discipline.We are dedicated to instilling values, pride and confidence to children in our community. Each student will receive technical dance instruction, as well as the opportunity to develop his/her own dance style. Our classes consist of 8-16 students per class, allowing the students to receive more individualized attention. We are committed to providing a loving, nurturing environment for students to learn the art of dance while making each and every student feel important.",2.5,99,"Yes","No","No","Dance","Ballet","Tap","Jazz","Lyrical","Contemporary","Latin","Acting","Bollywood",,,40,"Per_month","unclear","N/A","N/A","http://static.wixstatic.com/media/9f9cea_57b8277463b74a88ae185d2861e1c7ca.png_srz_p_64_96_75_22_0.50_1.20_0.00_png_srz","http://static.wixstatic.com/media/9f9cea_70a0bca52eb249d0a10566353c11aca5.jpg_srz_p_526_398_75_22_0.50_1.20_0.00_jpg_srz",,"Yes"
"Temecula Valley's Cathy's Dance","http://www.tvcdperformingarts.com/","info@temeculavalleydance.com","28780 Old Town Front Street #B-7","Temecula","CA",92590,"(951) 699-9255","TVCD’s mission is to enlighten minds, inspire talent, develop abilities, promote character, preserve values, while training and encouraging students to meet the creative and intellectual challenges of the 21st century.  We offer ballet, tap, jazz, hip hip, lyrical, contemporary, and more!",2,99,"Yes","No","No","Dance","Ballet","Tap","Jazz","HipHop","Contemporary","Lyrical","Dance","Gymnastics",,,55,"Per_month","JackRabbit","https://www.facebook.com/TVCDPerformingArtsSchool","No","https://scontent-a.xx.fbcdn.net/hphotos-xfa1/v/l/t1.0-9/10543600_770734892965056_2235444249357878254_n.jpg?oh=374a915bc12318829ab8befbc47ad19f&oe=550C8187","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/p417x417/10416605_758916214146924_6057441267746320580_n.jpg?oh=9b4f20488d77681c22bb62d26c3b6ee3&oe=55138510&__gda__=1427593462_e339bf9f747cdc824a348fb260354f35",,
"Dellos Dance & Performing Arts","http://dellosdance.com/",,"775 Pinefalls Ave","Walnut/Diamond Bar","CA",91789,"(909) 594-0228","Dellos Studios pride themselves on providing a loving family atmosphere in a professional and nurturing environment. They offer classes for 2 1/2 years to adult in tap, jazz, contemporary, lyrical, ballet, pointe, musical theatre, jazz-funk and hip-hop. Dellos provides instruction for beginners through professional and a hands-on training program for students aspiring to become dance instructors.",2.5,99,"Yes","No","No","Dance","Ballet","Tap","Jazz","HipHop","Contemporary",,,,,,52,"Per_month","onsite form","https://www.facebook.com/dellos.dance?fref=ts","No","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/10690268_375723799248990_6069148454451106170_n.jpg?oh=d354fbbf914d047b01fa4f0b22783aa8&oe=551E76F8&__gda__=1426465742_8939a631dd1d5d56fca345875011d299","https://scontent-b.xx.fbcdn.net/hphotos-xfa1/v/l/t1.0-9/10386770_399095573578479_2799897329106077246_n.jpg?oh=0e67455174c6a1b24f7493024d46032b&oe=5519D22D",,
"Dance With Laura Bishop","http://dancewithlaurabishop.com/",,"540 Searls Ave.","Nevada City","CA",95959,"530-265-2690","Laura’s Dance Program is designed to help children and adults develop a special awareness of the body’s importance and to communicate body movement in time and space. Her program develops the ability to express perceptions, feelings, images, and thought with movement. It promotes positive attitude towards oneself, others and the environment. Laura believes that dance, like all arts, must be founded on sound technique. Students will be taught sound technique tempered by the physical development considerations at all ages. The discipline and techniques learned in these classes will carry over into other activities in one’s life.",2,99,"Yes","No","No","Dance","Ballet","Tap","Jazz","HipHop",,,,,,,,,"mail or in person","https://www.facebook.com/pages/Dance-With-Laura-Bishop/161649230564555","N/A","http://dancewithlaurabishop.com/images/logo_main_03.jpg",,"No pricing info on site and no usable pics","Yes"
"Academy en l'Air Ballet Studio","http://www.academyenlair.org/","director@academyenlair.org","150 S. Grand Ave, Suites C & D","Glendora","CA",91741,"(626) 335-7889","Academy en l'Air, formerly Dance en l'Air founded by Marielle Reyes, carried on Mrs. Reyes's dance legacy into the school's restructuring on July 1, 2007.  The studio is dedicated to classical training both for the serious student  with professional goals and for students who wish to pursue healthy ways of achieving grace, balance, and well-being through beautiful movement.  The school offers pre-ballet, beginning, intermediate, advanced, men/boys, and adult levels.",3.5,99,"Yes","No","No","Dance","Ballet","Jazz","Contemporary","Lyrical","Pointe",,,,,,50,"Per_month","Phone/In person","https://www.facebook.com/pages/Academy-En-LAir-Ballet-Studio/107368685993616","N/A","N/A","N/A","no usable pics on site or FB","Yes"
"Kinderdance","http://www.kinderdance.com/","fapajo2003@yahoo.com","17161 Alva Rd","San Diego","CA",92127,"(858) 705-4638","Kinderdance is the original worldwide dance, motor development, gymnastics, and fitness program that combines academic readiness skills which are specifically designed for children ages 2 to 12. What makes Kinderdance unique is that all of our programs incorporate educational concepts in a developmentally designed curriculum that teaches to the total child. We place special emphasis on building ""Self Confidence"" and ""Self-Esteem"" in young children.",2,12,"Yes","No","No","Dance","Ballet","Jazz","Tap",,,,,,,,,,"Phone","https://www.facebook.com/pages/San-Diego-Kinderdance/138641736147743","No","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c31.0.134.134/37335_138642036147713_7809091_n.jpg?oh=0f7b5e5f9c6ca552eceea42c09a814c7&oe=55011591&__gda__=1423106090_928b4a8c834edcf99216aaf3822ec84b","https://scontent-b.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/34665_138647479480502_609053_n.jpg?oh=0b10f420dd7f35c4a72b495b02e40726&oe=550D88C5","100 locations nationwide. No pricing info on site.","Yes"
"Claylee's Dance Academy","http://clayleesdance.com/",,"7022 Milton Ave.","Whittier","CA",90601,"(562)698-6316","Claylee Stewart established Claylee’s Dance Academy in 1991 specifically for dancers of all ages. Claylee was determined to create a comfortable environment for children and adult participation. The studio offers a family friendly atmosphere while at the same time providing benefits not found at other studios including two large dance studios, ample free parking, two viewing areas where parents and students can relax and enjoy watching ongoing classes. Claylee's Dance Academy offers classes in Classical Ballet, Pointe, Tap, Jazz, Lyrical/Contemporary, Modern, Musical Theater, Polynesian, and Folklorico. Classes offered for students ages 3 to adult, beginning through professional levels.",3,99,"Yes","No","Yes","Dance","Ballet","Jazz","Tap","HipHop","Pointe","Lyrical","Guitar",,,,55,"Per_month","Phone","https://www.facebook.com/pages/Claylees-Dance-Academy/190015254374668","No","http://clayleesdance.com/images/logo.gif","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/1484731_628152937227562_73616445_n.jpg?oh=321ad202d5f6cdde0668b62afa8c0cec&oe=54D1AB23&__gda__=1426175695_17ae4e0fbf75377398b3d804cfda5b39",,
"Dance for Kids- Brentwood Academy of Dance","http://danceforkidsbrentwood.com/","danceforkids@mac.com","11677 San Vicente Blvd.","Brentwood","CA",90049,"310 820-5437","Classes at Dance for Kids are designed to encourage and inspire each student. Only the top instructors in each discipline are hired as teachers. Classes are designed to allow for individual attention. Often there is more than one instructor when necessary. Technique is a key to advancement. All students are evaluated to insure they are ready for the next level of instruction. Classes offered are Ballet, Pointe, Jazz, Hip Hop, Tap, Lyrical/Modern, and Musical Theatre.",3,99,"Yes","Yes","Yes","Dance","Ballet","Tap","Jazz","HipHop","Contemporary","Lyrical",,,,,,,"Phone","https://www.facebook.com/Brentwoodacademyofdance","No","http://danceforkidsbrentwood.com/images/logo.jpg","https://scontent-a.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/1545745_393646060779971_1717978448_n.jpg?oh=9ef281af58798bb20486e7ef94101c0b&oe=551B22F9","You must call for prices and regustration","Yes"
"Lujianping Dance & Arts","http://lujianpingdance.org/","info@lujianpingdance.org","1062 S. De Anza Blvd, Suite C-102","San Jose","CA",95129,"(408) 660-6881","Lujianping Dance & Arts is a world-renowned dance school staffed by professionally trained dance instructors who are committed to developing their students into the best dancers they can be. All instructors are skilled in our specialized dance training techniques and have years of actual stage experience. The artistic and historical insights that come from our many years of experience give our students a special appreciation of dance and make them some of the best dancers in the area. We offer classes in Chinese Dance and Ballet.",4,99,"Yes","No","No","Dance","Ballet",,,,,,,,,,120,"Per_session","PDF","N/A","N/A","N/A","N/A","No usable pics on site","Yes"
"Ligioso Ballet Studio","http://ligiosoballet.com/","ligiosoballet@yahoo.com","412 Military East,","Benicia","CA",94510,"707-310-0928","Ligioso Ballet Studio is a school of Classical Ballet. Our mission is to provide a center of classical ballet instruction promoting the highest standards of technique, integrity, and professionalism. While also building upon such classical ballet methods to develop an individual's artistic expression, as well as instilling a love and appreciation of classical ballet and the arts.",3.5,18,"Yes","No","No","Dance","Ballet","Tap","Jazz","Pointe",,,,,,,55,"Per_month","JackRabbit","https://www.facebook.com/ligiosoballetstudio","No","N/A","https://scontent-a.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10390985_10152075127512385_2181572191322509822_n.jpg?oh=9772846c4789897ed4a830652721406b&oe=55053A3D",,
"Santa Barbara Dance Arts","http://sbdancearts.com/","alana@sbdancearts.com","alana@sbdancearts.com","Santa Barbara","CA",93103,"(805)-966-5299","Santa Barbara Dance Arts is excited to celebrate our 17th year and are proud to be voted SB’s BEST Dance Studio by Independent readers for over 6 years! Our studio has been called a second home by our students and we pride ourselves on a family friendly environment. We offer classes in Jazz, Hip Hop, Contemporary, Ballet, Aerial, Broadway, Acro/Tricks, Conditioning, Combo classes for tots, and a full spectrum of adult friendly classes. We welcome dancers ages 3-adult and offer classes for all levels and abilities.",3,99,"Yes","Yes","Yes","Dance","Ballet","Jazz","HipHop","Contemporary","Tap",,,"Acrobatics",,,17,"Per_class","PDF","https://www.facebook.com/SantaBarbaraDanceArts","Yes","N/A","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/1982339_603678359722736_778014349_n.jpg?oh=4d418d8bf297e86f9b50cf8407aba319&oe=5502F7C1&__gda__=1427981746_3c81cb5545a78335baf6e1dacadb3308",,"Yes"
"Divine Dance Center","http://divinedc.com/",,"13841 Roswell Ave, Suite K","Chino","CA",91710,"(909)591-0903","Divine Dance Center, LLC. (DDC) Our mission at Divine Dance Center is to encourage creativity, confidence, and independence. We have created an environment filled with artistic vision, love, and integrity. We believe in a family environment where dancers, staff, and parents hold a strong bond with one another to work towards a common goal of self-development and working at our personal best. The staff at Divine Dance Center, LLC. is qualified in a myriad of dance styles; each teacher plays a specific role in developing each style of dance. We always keep in mind that students learn through example and often mirror adults. We set our standards high and expect our staff to perform in a professional manor. We have a set curriculum for all age groups, levels, and dance genres. “Movement is freedom, Dance is DIVINE”.",2.5,99,"Yes","No","No","Dance","Ballet","Tap","Jazz","HipHop",,,,,,,50,"Per_month","Online form","https://www.facebook.com/DivineDance","No","http://divinedc.com/wp-content/uploads/2014/04/DDC_logo.png","https://scontent-a.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/10294372_856094107737943_7246361096838204314_n.jpg?oh=9d63c31bface805184510e367b6f6680&oe=550D92D9",,"Yes"
"Studio Three Dance","http://www.studiothreedance.com/","info@studiothreedance.com","7488 Monterey Street","Gilroy","CA",95020,"408-846-5392","Our goal at Studio Three Dance is to teach and mentor well rounded dancers in a safe, professional environment offering small class sizes that provide individual attention to you and your student.  Studio Three Dance opened September 30, 2002 with only 31 students; definitely the fastest growing studio in the area with more than 200 children and adults taking dance classes each week in tap, jazz, ballet, lyrical, contemporary, hip hop, and acro! More and more families are seeking dance for their children or for themselves simply because of exercise. Learning, moving and progressing in a fun nurturing environment is what every student will experience at Studio Three Dance.",3,99,"Yes","No","No","Dance","Ballet","Tap","Jazz","HipHop","Lyrical",,,"Acrobatics",,,,,"JackRabbit","https://www.facebook.com/StudioThreeDance","No","N/A","https://scontent-a.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1391829_414153535352067_1840033330_n.jpg?oh=562ef3d34f98b2d808406662c609eab7&oe=54D57CC2","No pricing info on site",
"Fox Studio of Dance & Gymnastics","http://www.foxdancing.com/","foxkidsdance@msn.com","1031 N.Maclay Avenue,","San Fernando","CA",91340,"818-365-3330","Our mission at Fox Studios is to provide a quality dance and gymnastics education in a positive environment that fosters self-esteem, individuality, creativity, and a passion for learning that will last a lifetime. We strive to provide good service and take care of all the “details” of attending lessons so they are “hassle-free” and enjoyable. Classes include Mommy & Me; Tap; Ballet; Hip Hop; Jazz; Lyrical; Pointe; Gymnastics; Cheerleading; Acting Activities Annual Summer Recitals; Fun classes; Musical Theater Productions; Customized Pre-school Curriculum; Performance Groups; Studio Parties; Holiday Shows; Parades; Awards; and Summer Camps. Adult Classes are also offered.",2,99,"Yes","Yes","Yes","Dance","Ballet","Tap","Jazz","HipHop","Contemporary","Pointe","Guitar","Voice","Gymnastics","Percussion",56,"Per_month","JackRabbit","https://www.facebook.com/pages/Fox-Studio-of-Dance-Gymnastics/254498167908952","No","http://www.foxdancing.com/images/dance-logo.jpg","https://lh3.googleusercontent.com/-L5TaZK5G3T4/UEAuK-bfQSI/AAAAAAAAABQ/tpYpwSrsuKA/DSC_0264.JPG",,
"Tracy Dee Academy of Dance","http://www.tracydee.com/","info@tracydee.com","700 Richfield Rd","Placentia","CA",92780,"(714) 693-7131","Tracy Dee Academy of Dance, located in Placentia, is regarded as an exceptional facility, offering unparalleled dance training to hundreds of students in Orange County, California for over 24 years. Tracy Dee Academy of Dance offers classes for students aged 15 months to 17 years and class levels for Beginners to Professional. Our classes are designed by ability and not age. Our Academy's broad range of classes include: Ballet, Jazz, Lyrical, Pre-Pointe, Pointe, Tap, and Tots.",1.5,17,"Yes","Yes","No","Dance","Ballet","Tap","Jazz","Pointe","Lyrical",,,,,,,,"Phone/Email","https://www.facebook.com/pages/Tracy-Dee-Academy-of-Dance/215378170720","No","http://www.tracydee.com/images/new_tdad_website_logo.png","http://www.tracydee.com/images/img_9537.jpg","No pricing info on site","Yes"
"Bluestarz Productions","http://www.bluestarz-kids-dance-acting-school-shermanoaks.com/","info@bluestarzproductions.com","14330 Ventura Blvd","Sherman Oaks","CA",91423,"818-404-2132","Blue Starz offers a complete program for the young performer.​  Classes include: Mummy & Me Ballet, Ballet, Tap, Hip Hop, Jazz, Musical Theatre, Drama & Singing. Classes start from 18 months to 12 years.",1.5,12,"Yes","Yes","Yes","Dance","Ballet","Tap","Jazz","HipHop","Acting",,,,,,192,"Per_session","Online form","https://www.facebook.com/bluestarzproductions","No","http://static.wixstatic.com/media/5e1738_8a8ff3678d3445a692d5bce7df10248d.png_srz_p_254_241_75_22_0.50_1.20_0.00_png_srz","https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/10644848_829885003713109_159808933837755723_n.jpg?oh=c5bf69460ad923bba9a9859adb2ab978&oe=552057C7&__gda__=1427885318_5572f9d59e70ef22479d3bb910fdc824",,
"Extensions Performing Arts","http://www.extensionspaa.com/","info@extensionspaa.com","2765 West Avenue L","Lancaster","CA",93536,"661-723-2623","The Extensions dance studio has been a part of the Antelope Valley for over 15 years. We teach aspiring dancers starting at the age of 2 years old. We teach Jazz, Tap, Ballet, Hip Hop, Pointe and so much more. We even offer Zumba and Mommy & Me classes.",2,99,"Yes","Yes","No","Dance","Ballet","Tap","Jazz","HipHop","Pointe",,,,,,,,"unclear","https://www.facebook.com/ExtensionsPaa","Yes","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfp1/v/t1.0-1/c181.0.160.160/p160x160/228381_161434727254600_6482287_n.jpg?oh=2da5ef42ee5f0f1d66f3a0bd64ad2071&oe=5509DF4F&__gda__=1427613529_6ce0c7edaae13fdf40d111e79c993c45","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/1016826_802354843162582_1771725745300500992_n.jpg?oh=f0b8d47b68c6eadb1636e9ea2d3cd270&oe=550D76EF&__gda__=1427008372_64e51441c1c5813a92690f0fbaafc0c1","No pricing or registration info on site","Yes"
"The Art of Dance & Ballet","http://www.adbacademy.com/","adbacademy847@gmail.com","847 S. Kraemer Blvd.","Placentia","CA",92870,"714.630.3323","The Art of Dance and Ballet Academy is committed to enriching each dancer with an expansive knowledge of dance, instilling a passion for the arts, increasing self-confidence, and promoting life long values that extend well beyond the dance studio. Our highly qualified instructors are dedicated to providing exceptional training to students pursuing a future in dance, as well as to those participating recreationally.  ADBA offers  dance  education under  the  disciplines of classical ballet, jazz, tap, contemporary, and hip-hop. Our specialty classes include musical theatre, turns & leaps, tumbling, and much more.",2,99,"Yes","No","No","Dance","Ballet","Tap","Jazz","HipHop","Pointe","Lyrical",,,,,44,"Per_month","Phone/Email","https://www.facebook.com/adbacademy","Yes","https://scontent-a.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/38516_139587519397138_8113278_n.jpg?oh=5d8860b81da8c0ab611c8c148f2a6544&oe=5509ED86","http://www.adbacademy.com/uploads/5/0/6/4/5064588/5550724_orig.jpg",,"Yes"
"Hills Academy of Music, Art & Dance","http://www.hillsacademy.com/","info@hillsacademy.com","2941 Rolling Hills Rd","Torrance","CA",90505,"310 784 0100","Music, Art, and Dance bring the pieces together to foster the development of independence, self-discipline, successful decision-making and creativity. Through the innovative teaching and passion of our dedicated and experienced faculty, state-of-the-art facility, and an environment of collaboration and community, students will find these pieces naturally here. Ballet/Tap and Hip Hop Classes are offered at Hills Academy. In our multi-purpose hall, with soft dance floors, students engage in a very organized and engaging Royal Academy of Dance Curriculum for Ballet. The Hip Hop Classes are every day routines, put together into an exciting choreographed dance number.",3,18,"Yes","No","No","Dance","Ballet","Tap","HipHop","Voice","Guitar","Piano",,"Creative Arts",,,,,"unclear","https://www.facebook.com/pages/Hills-Academy-of-Music-Art-and-Dance/116560545071757","No","http://96bda424cfcc34d9dd1a-0a7f10f87519dba22d2dbc6233a731e5.r41.cf2.rackcdn.com/hillsacademy/hills-academy-logo.jpg","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/47516_425251360869339_880628486_n.jpg?oh=d22d0f0251b9a523acd15f6306bb6bcc&oe=5509A9D2&__gda__=1426462581_48bb9eae8a2536f710b9dea90ab5242e","No pricing or registration info on site","Yes"
"Performing Arts Workshop","http://www.dancepaw.com/","pawencinitas@live.com","681 Encinitas Blvd Ste 309","Encinitas","CA",92024,"760.753.2671","Performing Arts Workshop (P.A.W.) has been offering high-calibre dance training to the greater San Diego dance community since 1996. Our studio is a safe, inclusive, environment for everyone from the dance appreciator to the professional dancer. PAW enables each student to reach his or her full potential through hard work, encouragement, discipline, individual focus, dance education, correct technique, creativity, and artistry.",2,99,"Yes","No","No","Dance","Ballet","Tap","Jazz",,,,,,,,60,"Per_month","Phone/Email","https://www.facebook.com/pages/Performing-Arts-Workshop/138973509586582","No","N/A","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/p417x417/1511694_305807902903141_1938996297_n.jpg?oh=9b078750afc191ffd9dc70c8e6f55801&oe=55149736&__gda__=1426491639_f5660e9e0125a590e1336476a3bf6bb0",,"Yes"
"Agoura Hills Dance","http://www.agourahillsdance.com/","info@agourahillsdance.com","5015 Cornell Road","Agoura Hills","CA",91301,"(818) 991-8883","At Agoura Hills Dance, our goal is to offer the very finest instruction in a wide variety of dance forms to all age groups and levels, from the Beginner to the advanced professional. We strive at all times to promote an atmosphere of respect–for every teacher, for every dancer, and for the art of dance itself. We feel privileged that you have chosen our studio, and we will do our very best to earn and maintain your trust.",4,99,"Yes","No","Yes","Dance","Ballet","Tap","Jazz","HipHop","Lyrical","Contemporary","Pointe",,,,65,"Per_month","Online form","https://www.facebook.com/AgouraHillsDance","Yes","http://www.agourahillsdance.com/sohoadmin/program/modules/site_templates/pages/AGHills_MariaEdits_DDMS1/HeaderTopLeft.png","https://scontent-b.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/1920258_964893296857800_6335356583682821258_n.jpg?oh=9aabedf2389000e9ad14404c2fc49108&oe=550D2FDD",,"Yes"
"Xtreme Dance Center","http://xtremedancecenter.com/","xtremedancecenter@yahoo.com","26439 Rancho Parkway South #175","Lake Forest","CA",92630,"(949) 859-7827","Xtreme Dance Center is a contemporary state of the art facility, located on the border of Foothill Ranch and Lake Forest, in beautiful Southern California. We have 3 large dance rooms with viewing windows into each room as well as a comfortable, spacious lobby and waiting area. Our amazing staff of highly trained,  award winning teachers and choreographers offer years of experience in instruction, coaching, performing and the arts. We offer classes for ages 3-18 in Ballet, Jazz, Hip Hop, Lyrical, Turns and Technique, Pom, Tap, Tumbling for Dancers, Contemporary and more as well as a budding new fitness program that offers Barre classes for adults.",3,99,"Yes","Yes","Yes","Dance","Ballet","Tap","Jazz","HipHop","Lyrical","Contemporary",,,,,35,"Per_month","unclear","https://www.facebook.com/pages/Xtreme-Dance-Center/152409784793442","No","https://scontent-a.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/993410_644332035601212_1792483489_n.jpg?oh=42399d32519560f00694d91c773641b8&oe=5516E038","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/1378723_652120701489012_292263417_n.jpg?oh=882fdda53ba1a9ecfe2a588ed77c993c&oe=55153E53&__gda__=1427167264_c947083a1fd265cc0a8d6ee45dcfaabb",,"Yes"
"Marrillyn McDowell Studio","http://www.mmsdance.org/","info@mmsdance.org","324 Redondo Ave","Long Beach","CA",90814,"(562)433-5753","At MMS Dance, we use a thorough screening process to ensure that our dance teachers have high-quality training, effective teaching skills and can connect to our students to provide the best dance instruction in town. From 18 months - adult, you can be sure you're in the best hands!",1.5,99,"Yes","No","No","Dance","Ballet","Tap","Jazz","HipHop","Lyrical","Contemporary","Pointe",,,,50,"Per_month","MindBodyOnline","https://www.facebook.com/MMSdance","N/A","http://static.squarespace.com/static/53d845bce4b01774461d6edd/t/53ed916ae4b0337c7d35ed86/1417568080996/?format=1500w","http://static.squarespace.com/static/53d845bce4b01774461d6edd/t/5403afa4e4b0e9cf18a42fa0/1409527734252/?format=500w",,
"Valley Ballet Academy","http://www.valleyballetacademy.com/","ballettheatremv@gmail.com","22500 Town Cir # 2063","Moreno Valley","CA",92553,"951 653 2111","At the Valley Ballet Academy, we hope that you find a welcoming family-like environment where your young children can grow up among friends. Our teachers have knowledgable backgrounds in ballet technique and are ready to work alongside your children to train them up into beautiful young dancers. Here, our students learn ballet terminology, ballet history, the proper executions of ballet steps, historical ballet choreography, discipline, respect and responsibility and are encouraged to take care of their bodies as well as their minds. Valley Ballet Academy is a school that prides itself in training professional ballet technique to our dancers. While we offer and incorporate other dance forms, like jazz and hip-hop, ballet is our focus and foundation.",3,18,"Yes","No","Yes","Dance","Ballet","Jazz","HipHop","Lyrical",,,,,,,,,,"https://www.facebook.com/pages/Valley-Ballet-Academy/112550135466493?ref=hl","No","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/406716_447048178683352_1862034257_n.jpg?oh=b841111f8b8330ca2f760141dadb6e0d&oe=55013807&__gda__=1426523534_aa46f092e281c91aad9b0d2f926a8a3e","https://scontent-a.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/1003647_516198921768277_1977153697_n.jpg?oh=bf14563d4f934d8a748894306a7d00d7&oe=551C7FC8","no pricing or registration info on site","Yes"
"Class Act Dance","http://classactdance.com/","info@classactdance.com","2508 Spring St","Paso Robles","CA",93446,"805.239.3668","For 20+ years, Class Act Dance and Performing Arts Studio has been training students in dance and the performing arts, across all levels, exposing them to musicality, technique and expression. Many of our students have gone on to enjoy professional careers in the arts. Our staff provides a positive, nurturing experience to all, from those just starting out, to those about to take the next big step into a professional career, to those who simply enjoy an active, creative lifestyle. Class Act Dance offers a vast curriculum for all levels of dancers in a variety of disciplines. We offer training programs in Combo (for early training), Ballet, Jazz, Tap, Hip Hop, Lyrical, Ballroom, Musical Theatre, and various Specialty Classes.",1.5,99,"Yes","No","Yes","Dance","Ballet","Tap","Jazz","HipHop","Lyrical","Voice","Acting",,,,,,"The Studio Director","https://www.facebook.com/CAD.Performs","No","https://scontent-a.xx.fbcdn.net/hphotos-ash2/v/t1.0-9/561944_398963306818932_1447645727_n.jpg?oh=5883c307103e0bcb941b4cba929d1424&oe=5506CF73","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/1891101_608560342525893_1239122791_n.jpg?oh=6945133917bac6dee4f412e553b8032c&oe=55116350&__gda__=1425820263_39d791c146dbcca4c79aea58ce637126","No pricing nfo on site",
